                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0036,                 2.3981,                 2.6083,                 1.3184,                0.77803,                0.89372,                0.93931,                0.66689,                0.71764,                0.83333,                0.82151,                0.56153,                 1.5218,                 2.5242,                  1.008,                 1.3328,                      0,                      0,                      0
                      2,                 1.0319,                 3.2597,                 2.6265,                 1.2814,                0.77829,                0.90678,                0.93925,                 0.6637,                0.71613,                0.84461,                0.82176,                0.56318,                 1.5285,                 2.5186,                 1.0138,                 1.3319,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                0.88153,                 2.8271,                 1.7272,                 1.1026,                0.77741,                0.90812,                0.93987,                0.67145,                 0.7144,                0.84511,                0.82202,                0.56274,                 1.5272,                 2.5167,                 1.0127,                 1.3276,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                0.95474,                 1.9298,                 2.5459,                 1.1987,                0.76978,                0.91555,                 0.9391,                0.67267,                0.70127,                0.84705,                0.82169,                0.56115,                 1.5233,                 2.5101,                 1.0098,                 1.3203,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                0.96872,                 2.0842,                 2.2335,                 1.2973,                0.74708,                0.90658,                0.93789,                0.68664,                0.67384,                0.83333,                0.84798,                0.56837,                 1.5112,                 2.5059,                 1.0255,                 1.3173,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                0.74668,                  2.444,                 1.6872,                 1.0446,                0.72957,                0.93271,                0.93934,                0.67663,                0.64686,                   0.85,                0.84809,                0.56838,                 1.5095,                 2.5036,                 1.0234,                 1.3166,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                0.93387,                 2.1519,                 2.4044,                 1.3086,                 0.6887,                0.93333,                0.93969,                0.67074,                0.61484,                   0.85,                0.84814,                0.57034,                  1.515,                 2.5049,                 1.0426,                 1.3178,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.2447,                 3.0105,                 3.4165,                 1.5077,                0.65984,                   0.95,                0.94034,                0.68752,                0.57956,                   0.85,                0.84665,                0.55955,                 1.5314,                 2.5061,                 1.0562,                 1.3257,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                0.83856,                 2.1121,                 2.8858,                 1.1279,                0.66993,                   0.95,                0.94252,                0.68972,                0.58851,                   0.85,                0.84616,                0.55897,                 1.5386,                 2.5096,                 1.0683,                 1.3301,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                0.61214,                 2.8037,                 2.1297,                 1.0033,                0.66158,                   0.95,                0.94262,                0.68972,                0.58167,                   0.85,                0.84635,                0.56317,                 1.5465,                 2.5096,                 1.0752,                 1.3344,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                0.90209,                 2.7535,                 2.2064,                 1.2561,                 0.6179,                0.92374,                0.91616,                0.67896,                0.56768,                   0.85,                 0.8463,                0.56376,                  1.554,                 2.5098,                 1.0606,                 1.3368,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                0.74831,                  2.834,                 1.8424,                   1.16,                0.60724,                0.93114,                0.91605,                0.67933,                0.55281,                   0.85,                0.84602,                0.56306,                 1.5698,                 2.5106,                 1.0873,                 1.3441,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                0.88885,                 3.1277,                 2.8308,                 1.2779,                0.59389,                0.93708,                0.91573,                0.67796,                0.87144,                0.65717,                0.84591,                0.56303,                 1.5866,                 2.5164,                 1.1025,                 1.3517,             1.2584e-05,             1.2584e-05,             1.2584e-05
